"","SYMBOL","SECTOR","AVG.RTRN","AVG.GAIN","AVG.LOSS","MAX.GAIN","MAX.LOSS","PCT.POS","PCT.NEG"
"1","AAL","Transportation",-1.07,2.77333333333333,-4.36,4.04,-7.65,46.1538461538462,53.8461538461538
"2","AAPL","Technology",1.28,4.605,-4.05,8.08,-8.57,61.5384615384615,38.4615384615385
"3","ABMD","Health Care",0.2,3.09444444444444,-6.3275,8.59,-15.34,69.2307692307692,30.7692307692308
"4","ACGL","Finance",1.66,2.351,-0.653333333333333,8.68,-1.45,76.9230769230769,23.0769230769231
"5","ADBE","Technology",2.51,4.7975,-2.0525,13.03,-3.69,66.6666666666667,33.3333333333333
"6","ADI","Technology",2.36,4.01222222222222,-1.3475,7.18,-2.52,69.2307692307692,30.7692307692308
"7","ADP","Technology",-0.41,3.168,-2.64875,9.2,-5.66,38.4615384615385,61.5384615384615
"8","ADSK","Technology",2.77,7.52428571428571,-3.882,15.48,-12.41,58.3333333333333,41.6666666666667
"9","AGNC","Consumer Services",0.03,1.826,-1.25142857142857,3.34,-2.09,41.6666666666667,58.3333333333333
"10","AGNCB","Consumer Services",0.08,0.41,-0.311666666666667,1.28,-0.71,53.8461538461538,46.1538461538462
"11","AKAM","Miscellaneous",0.88,6.80375,-8.596,12.15,-11.91,61.5384615384615,38.4615384615385
"12","ALGN","Health Care",1.28,7.1325,-8.08,17.23,-24.41,61.5384615384615,38.4615384615385
"13","ALKS","Health Care",0.84,3.90833333333333,-1.78714285714286,6.93,-3.35,46.1538461538462,53.8461538461538
"14","ALNY","Health Care",-2.15,2.332,-4.94625,5.97,-13.4,38.4615384615385,61.5384615384615
"15","ALXN","Health Care",2.17,4.456,-5.45333333333333,7.84,-7.43,76.9230769230769,23.0769230769231
"16","AMAT","Technology",1.67,4.79222222222222,-5.345,10.59,-7.72,69.2307692307692,30.7692307692308
"17","AMD","Technology",-0.89,6.59375,-12.872,21.76,-25.89,61.5384615384615,38.4615384615385
"18","AMGN","Health Care",-1.35,2.5125,-3.07111111111111,4.74,-5.73,30.7692307692308,69.2307692307692
"19","AMOV","Public Utilities",-0.44,1.88,-2.42571428571429,3.72,-7.92,46.1538461538462,53.8461538461538
"20","AMRN","Health Care",1.85,6.785,-3.08166666666667,12.41,-7.11,50,50
"21","AMTD","Finance",0.39,1.46875,-1.336,3.05,-2.19,61.5384615384615,38.4615384615385
"22","AMZN","Consumer Services",1.43,5.29375,-4.756,12.07,-7,61.5384615384615,38.4615384615385
"23","ANGI","Consumer Services",4.46,11.71375,-7.14,63.56,-12.65,61.5384615384615,38.4615384615385
"24","ANSS","Technology",0.35,1.96125,-2.87,5.15,-6.58,66.6666666666667,33.3333333333333
"25","ARRS","Technology",1.33,6.10625,-6.318,11.91,-11.33,61.5384615384615,38.4615384615385
"26","ASML","Technology",2.88,3.52818181818182,-0.665,6.65,-1.23,84.6153846153846,15.3846153846154
"27","ASND","Health Care",-0.17,3.166,-2.945,6.13,-9.11,45.4545454545455,54.5454545454545
"28","ATVI","Technology",0.33,4.75,-4.835,12.22,-15.72,53.8461538461538,46.1538461538462
"29","AVGO","Technology",2.75,4.73875,-1.2325,9.83,-2.68,66.6666666666667,33.3333333333333
"30","AZPN","Technology",1.49,4.89375,-3.95,10.13,-8.03,61.5384615384615,38.4615384615385
"31","BGNE","Health Care",-1.29,0.636666666666667,-2.444,0.93,-4.23,37.5,62.5
"32","BIDU","Technology",0.95,5.7,-4.59666666666667,10.8,-8.64,53.8461538461538,46.1538461538462
"33","BIIB","Health Care",1.33,3.94,-2.844,7.65,-4.85,61.5384615384615,38.4615384615385
"34","BKNG","Miscellaneous",-0.4,6.095,-6.905,7.61,-8.09,50,50
"35","BLUE","Health Care",-1.8,1.4625,-3.25,2.53,-6.32,30.7692307692308,69.2307692307692
"36","BMRN","Health Care",-1.38,2.614,-3.86875,3.84,-10.4,38.4615384615385,61.5384615384615
"37","BOKF","Finance",-0.2,1.78666666666667,-1.90714285714286,3.16,-3.33,46.1538461538462,53.8461538461538
"38","BPOP","Finance",0.22,2.866,-1.43375,5.31,-4.2,38.4615384615385,61.5384615384615
"39","BPY","Finance",-0.33,1.444,-1.4425,3.9,-3.06,38.4615384615385,61.5384615384615
"40","BRKR","Capital Goods",3.22,6.81888888888889,-4.87,17.1,-9.6,69.2307692307692,30.7692307692308
"41","CACC","Finance",-0.59,3.68,-7.424,9.39,-14.8,61.5384615384615,38.4615384615385
"42","CBSH","Finance",0.6,2.49625,-2.43,6.12,-4.35,61.5384615384615,38.4615384615385
"43","CDK","Miscellaneous",-0.18,1.36714285714286,-1.99166666666667,1.95,-4.39,53.8461538461538,46.1538461538462
"44","CDNS","Technology",2.81,4.123,-1.55333333333333,9.43,-2.6,76.9230769230769,23.0769230769231
"45","CDW","Consumer Services",0.81,2.95777777777778,-4.0175,8.36,-12.12,69.2307692307692,30.7692307692308
"46","CELG","Health Care",-1.55,1.79625,-6.914,4.13,-17.8,61.5384615384615,38.4615384615385
"47","CERN","Technology",-4.39,3.29,-7.80333333333333,5.87,-17.64,30.7692307692308,69.2307692307692
