"","Symbol","OVERALL.RTRN","# of Trades","SECTOR"
"1","ETSY",85.01,12,"Miscellaneous"
"2","LOPE",77.4,13,"Consumer Services"
"3","LOGI",71.99,13,"Technology"
"4","UBNT",71.47,13,"Technology"
"5","SPLK",67.13,12,"Technology"
"6","PODD",60.54,12,"Health Care"
"7","ANGI",58.01,13,"Consumer Services"
"8","EXEL",48.68,13,"Health Care"
"9","WB",48.37,12,"Technology"
"10","TTWO",46.78,13,"Technology"
"11","OKTA",45.71,7,"Technology"
"12","FIVE",44.33,12,"Consumer Services"
"13","RP",43.8800000000001,12,"Technology"
"14","YNDX",43.32,13,"Technology"
"15","BRKR",41.89,13,"Capital Goods"
"16","GRMN",41.11,13,"Capital Goods"
"17","COLM",39.13,13,"Consumer Non-Durables"
"18","ZBRA",38.95,13,"Technology"
"19","ASML",37.48,13,"Technology"
"20","CDNS",36.57,13,"Technology"
"21","LRCX",34.68,13,"Technology"
"22","TEAM",34.15,13,"Technology"
"23","NVDA",34.03,13,"Technology"
"24","ULTI",33.33,13,"Technology"
"25","ADSK",33.26,12,"Technology"
"26","AVGO",32.98,12,"Technology"
"27","TSLA",32.06,13,"Capital Goods"
"28","XLNX",31.75,13,"Technology"
"29","SSNC",31.6,13,"Technology"
"30","PEGA",31.58,13,"Technology"
"31","CGNX",31.43,13,"Capital Goods"
"32","MCHP",30.78,13,"Technology"
"33","ADI",30.72,13,"Technology"
"34","NFLX",30.5,13,"Consumer Services"
"35","EWBC",30.38,13,"Finance"
"36","ADBE",30.17,12,"Technology"
"37","MASI",30.16,12,"Health Care"
"38","MXIM",29.7,13,"Technology"
"39","SNPS",29.47,13,"Technology"
"40","EXAS",29.35,13,"Health Care"
"41","IAC",28.55,13,"Consumer Services"
"42","ALXN",28.2,13,"Health Care"
"43","NDSN",26.64,13,"Capital Goods"
"44","QGEN",26.49,12,"Health Care"
"45","IDXX",25.4300000000001,13,"Health Care"
"46","MRVL",24.53,12,"Technology"
"47","FB",23.95,13,"Technology"
"48","MSFT",23.74,13,"Technology"
"49","ISRG",23.44,13,"Health Care"
"50","PRAH",23.16,12,"Health Care"
"51","FTNT",23.15,13,"Technology"
"52","ROKU",22.84,6,"Consumer Services"
"53","MOMO",22.34,12,"Technology"
"54","AMRN",22.22,12,"Health Care"
"55","ON",22.09,13,"Technology"
"56","AMAT",21.75,13,"Technology"
"57","ACGL",21.55,13,"Finance"
"58","COUP",21.5,8,"Technology"
"59","MELI",21.11,12,"Miscellaneous"
"60","CSCO",20.93,13,"Technology"
"61","MORN",20.28,13,"Finance"
"62","NICE",19.47,13,"Technology"
"63","RYAAY",19.4699999999999,13,"Transportation"
"64","AZPN",19.4,13,"Technology"
"65","CSX",19.1600000000001,13,"Transportation"
"66","WIX",19,13,"Technology"
"67","HAS",18.75,13,"Consumer Non-Durables"
"68","TER",18.73,13,"Capital Goods"
"69","AMZN",18.57,13,"Consumer Services"
"70","MU",18.07,12,"Technology"
"71","CTXS",17.7,13,"Technology"
"72","FANG",17.66,13,"Energy"
"73","LAMR",17.45,13,"Consumer Services"
"74","BIIB",17.3,13,"Health Care"
"75","ARRS",17.26,13,"Technology"
"76","KLAC",16.68,13,"Capital Goods"
"77","ALGN",16.66,13,"Health Care"
"78","AAPL",16.59,13,"Technology"
"79","ROST",16,12,"Consumer Services"
"80","JD",15.67,12,"Consumer Services"
"81","VRSN",14.89,13,"Technology"
"82","TRMB",14.8,13,"Capital Goods"
"83","JBHT",14.67,13,"Transportation"
"84","MDB",14.38,5,"Technology"
"85","MYL",13.57,12,"Health Care"
"86","HTHT",13.36,12,"Consumer Services"
"87","STLD",13.15,13,"Basic Industries"
"88","PFPT",12.9500000000001,13,"Technology"
"89","ZION",12.7,13,"Finance"
"90","PYPL",12.69,13,"Miscellaneous"
"91","ORLY",12.41,13,"Consumer Services"
"92","BIDU",12.32,13,"Technology"
"93","DXCM",12.17,13,"Health Care"
"94","DISCB",12.14,12,"Consumer Services"
"95","AKAM",11.45,13,"Miscellaneous"
"96","TMUS",11.44,13,"Public Utilities"
"97","WWD",11.43,13,"Energy"
"98","WDC",11.19,13,"Technology"
"99","LBRDK",11.11,9,"Consumer Services"
"100","LBRDA",11.06,10,"Consumer Services"
"101","ALKS",10.94,13,"Health Care"
"102","FFIV",10.94,13,"Technology"
"103","NTNX",10.84,9,"Technology"
"104","GOOG",10.57,13,"Technology"
"105","CDW",10.55,13,"Consumer Services"
"106","EXPE",10.43,13,"Consumer Services"
"107","CMCSA",10.4,13,"Consumer Services"
"108","CPRT",9.92999999999998,13,"Consumer Durables"
"109","IEP",9.74000000000004,12,"Capital Goods"
"110","CHTR",9.63999999999998,13,"Consumer Services"
"111","ERIE",9.46999999999995,13,"Finance"
"112","CINF",9.30000000000002,13,"Finance"
