"","SECTOR","Symbol","GainLoss_dol","GainLoss_perc","Bought","Buy_price","Sold","Sell_price","PROFIT","EQUITY"
"1","Transportation","AAL",-2.09,-5.28,2016-01-28,39.610001,2016-01-29,37.52,-52.8,947.2
"2","Transportation","AAL",-3.12,-7.65,2016-04-21,40.799999,2016-04-22,37.68,-76.5,870.7
"3","Transportation","AAL",1.35,3.85,2016-07-21,35.099998,2016-07-22,36.450001,38.5,909.2
"4","Transportation","AAL",1.45,3.67,2016-10-19,39.48,2016-10-20,40.93,36.7,945.9
"5","Transportation","AAL",1.57,3.24,2017-01-26,48.43,2017-01-27,50,32.4000000000001,978.3
"6","Transportation","AAL",-2.6,-5.59,2017-04-26,46.509998,2017-04-27,43.91,-55.9,922.4
"7","Transportation","AAL",-1.32,-2.62,2017-07-27,50.34,2017-07-28,49.02,-26.2,896.2
"8","Transportation","AAL",0.22,0.42,2017-10-25,51.779999,2017-10-26,52,4.19999999999993,900.4
"9","Transportation","AAL",-0.35,-0.64,2018-01-24,54.349998,2018-01-25,54,-6.39999999999998,894
"10","Transportation","AAL",-2.18,-4.77,2018-04-25,45.669998,2018-04-26,43.490002,-47.6999999999999,846.3
"11","Transportation","AAL",0.53,1.42,2018-07-25,37.32,2018-07-26,37.849998,14.2,860.5
"12","Transportation","AAL",-1.29,-3.97,2018-10-24,32.48,2018-10-25,31.190001,-39.6999999999999,820.8
"13","Transportation","AAL",1.33,4.04,2019-01-23,32.93,2019-01-24,34.259998,40.4000000000001,861.2
"14","Technology","AAPL",-5.48,-5.4,2016-01-25,101.519997,2016-01-27,96.040001,-54,946
"15","Technology","AAPL",-9,-8.57,2016-04-25,105,2016-04-27,96,-85.7,860.3
"16","Technology","AAPL",6.02,6.13,2016-07-25,98.25,2016-07-27,104.269997,61.3,921.6
"17","Technology","AAPL",-2.79,-2.38,2016-10-24,117.099998,2016-10-26,114.309998,-23.8000000000001,897.8
"18","Technology","AAPL",6.1,5.04,2017-01-30,120.93,2017-02-01,127.029999,50.4000000000001,948.2
"19","Technology","AAPL",0.49,0.34,2017-05-01,145.100006,2017-05-03,145.589996,3.40000000000009,951.6
"20","Technology","AAPL",9.38,6.26,2017-07-31,149.899994,2017-08-02,159.279999,62.5999999999999,1014.2
"21","Technology","AAPL",4.13,2.43,2017-11-01,169.869995,2017-11-03,174,24.3,1038.5
"22","Technology","AAPL",-0.87,-0.52,2018-01-31,166.869995,2018-02-02,166,-5.19999999999993,1033.3
"23","Technology","AAPL",13.1,8.08,2018-04-30,162.130005,2018-05-02,175.229996,80.8,1114.1
"24","Technology","AAPL",7.23,3.77,2018-07-30,191.899994,2018-08-01,199.130005,37.7,1151.8
"25","Technology","AAPL",-7.33,-3.38,2018-10-31,216.880005,2018-11-02,209.550003,-33.8000000000001,1118
"26","Technology","AAPL",7.46,4.79,2019-01-28,155.789993,2019-01-30,163.25,47.9000000000001,1165.9
"27","Health Care","ABMD",4.63,5.45,2016-02-03,84.889999,2016-02-04,89.519997,54.5,1054.5
"28","Health Care","ABMD",3.45,3.53,2016-05-02,97.610001,2016-05-03,101.059998,35.3,1089.8
"29","Health Care","ABMD",1.07,0.93,2016-07-27,114.93,2016-07-28,116,9.30000000000007,1099.1
"30","Health Care","ABMD",-18.39,-15.34,2016-10-26,119.900002,2016-10-27,101.510002,-153.4,945.7
"31","Health Care","ABMD",3.06,2.7,2017-01-25,113.43,2017-01-26,116.489998,27,972.7
"32","Health Care","ABMD",-6.44,-4.8,2017-05-03,134.149994,2017-05-04,127.709999,-48,924.7
"33","Health Care","ABMD",-4.54,-3.06,2017-07-26,148.559998,2017-07-27,144.020004,-30.5999999999999,894.1
"34","Health Care","ABMD",0.28,0.16,2017-10-25,176.720001,2017-10-26,177,1.60000000000002,895.7
